timestamp,open,high,low,close,volume
2025-06-02 03:45:00,55598.25,55787.1,55452.1,55468.65,0
2025-06-02 03:50:00,55469.1,55488.1,55400.55,55475.0,0
2025-06-02 03:55:00,55472.15,55573.85,55449.05,55502.35,0
2025-06-02 04:00:00,55501.45,55570.05,55450.95,55526.6,0
2025-06-02 04:05:00,55528.9,55604.3,55482.55,55603.2,0
2025-06-02 04:10:00,55603.25,55683.35,55603.25,55647.85,0
2025-06-02 04:15:00,55646.1,55651.4,55598.35,55611.7,0
2025-06-02 04:20:00,55615.0,55636.8,55584.8,55593.45,0
2025-06-02 04:25:00,55590.2,55596.35,55537.9,55582.15,0
2025-06-02 04:30:00,55580.55,55586.75,55523.4,55554.75,0
2025-06-02 04:35:00,55558.25,55610.45,55545.85,55599.55,0
2025-06-02 04:40:00,55599.7,55626.3,55571.2,55585.25,0
2025-06-02 04:45:00,55585.55,55586.8,55553.9,55577.85,0
2025-06-02 04:50:00,55578.0,55598.45,55551.5,55589.95,0
2025-06-02 04:55:00,55588.8,55603.65,55569.65,55599.4,0
2025-06-02 05:00:00,55600.25,55610.7,55579.95,55595.5,0
2025-06-02 05:05:00,55594.7,55637.35,55579.7,55632.75,0
2025-06-02 05:10:00,55635.05,55677.4,55622.75,55662.55,0
2025-06-02 05:15:00,55666.3,55686.45,55632.6,55669.05,0
2025-06-02 05:20:00,55670.3,55679.15,55612.6,55625.7,0
2025-06-02 05:25:00,55626.85,55644.0,55607.8,55639.15,0
2025-06-02 05:30:00,55639.05,55665.1,55625.55,55657.45,0
2025-06-02 05:35:00,55661.45,55669.85,55613.75,55618.05,0
2025-06-02 05:40:00,55618.9,55633.35,55605.95,55615.7,0
2025-06-02 05:45:00,55616.55,55652.8,55572.85,55649.75,0
2025-06-02 05:50:00,55645.15,55674.35,55629.45,55635.4,0
2025-06-02 05:55:00,55635.5,55645.1,55604.95,55637.25,0
2025-06-02 06:00:00,55641.75,55645.25,55616.35,55636.45,0
2025-06-02 06:05:00,55637.55,55656.25,55622.4,55652.65,0
2025-06-02 06:10:00,55646.4,55702.85,55642.6,55649.85,0
2025-06-02 06:15:00,55650.75,55706.95,55642.3,55697.25,0
2025-06-02 06:20:00,55699.7,55714.15,55679.4,55681.1,0
2025-06-02 06:25:00,55681.1,55722.2,55680.65,55712.55,0
2025-06-02 06:30:00,55711.25,55742.25,55703.1,55737.3,0
2025-06-02 06:35:00,55738.25,55752.2,55705.15,55708.4,0
2025-06-02 06:40:00,55707.1,55730.9,55694.4,55726.1,0
2025-06-02 06:45:00,55725.1,55744.5,55690.25,55724.45,0
2025-06-02 06:50:00,55728.7,55748.75,55701.2,55712.05,0
2025-06-02 06:55:00,55712.45,55727.15,55691.7,55723.2,0
2025-06-02 07:00:00,55727.5,55804.6,55717.8,55804.6,0
2025-06-02 07:05:00,55803.75,55829.6,55765.0,55828.0,0
2025-06-02 07:10:00,55831.1,55831.9,55788.8,55818.75,0
2025-06-02 07:15:00,55815.25,55823.45,55797.45,55809.7,0
2025-06-02 07:20:00,55809.55,55835.25,55799.95,55832.55,0
2025-06-02 07:25:00,55834.15,55834.5,55746.85,55754.65,0
2025-06-02 07:30:00,55747.25,55808.4,55747.25,55780.85,0
2025-06-02 07:35:00,55780.35,55798.6,55763.7,55781.95,0
2025-06-02 07:40:00,55780.7,55785.4,55765.35,55780.9,0
2025-06-02 07:45:00,55781.25,55796.15,55771.05,55790.1,0
2025-06-02 07:50:00,55789.7,55819.55,55778.4,55817.65,0
2025-06-02 07:55:00,55814.35,55818.3,55785.6,55789.5,0
2025-06-02 08:00:00,55791.55,55812.25,55776.35,55780.85,0
2025-06-02 08:05:00,55785.1,55861.15,55777.95,55845.95,0
2025-06-02 08:10:00,55847.9,55864.15,55825.9,55854.4,0
2025-06-02 08:15:00,55856.45,55871.35,55839.0,55840.3,0
2025-06-02 08:20:00,55841.35,55858.25,55827.85,55854.95,0
2025-06-02 08:25:00,55855.5,55873.05,55821.15,55846.25,0
2025-06-02 08:30:00,55847.35,55854.35,55819.25,55820.2,0
2025-06-02 08:35:00,55823.75,55825.25,55761.4,55780.3,0
2025-06-02 08:40:00,55784.15,55791.25,55759.05,55787.15,0
2025-06-02 08:45:00,55787.95,55795.85,55770.5,55782.25,0
2025-06-02 08:50:00,55781.45,55791.05,55757.45,55760.65,0
2025-06-02 08:55:00,55762.6,55817.15,55762.05,55790.15,0
2025-06-02 09:00:00,55788.95,55804.9,55702.75,55717.35,0
2025-06-02 09:05:00,55715.85,55754.25,55709.3,55738.1,0
2025-06-02 09:10:00,55737.9,55766.9,55725.25,55758.6,0
2025-06-02 09:15:00,55766.0,55785.8,55727.35,55779.35,0
2025-06-02 09:20:00,55778.5,55824.65,55773.9,55819.9,0
2025-06-02 09:25:00,55818.5,55884.3,55815.35,55877.2,0
2025-06-02 09:30:00,55877.95,55965.3,55877.95,55943.75,0
2025-06-02 09:35:00,55943.75,55966.3,55895.85,55920.95,0
2025-06-02 09:40:00,55920.95,55958.2,55912.1,55918.3,0
2025-06-02 09:45:00,55918.3,55921.85,55884.1,55903.15,0
2025-06-02 09:50:00,55903.15,55914.2,55874.45,55875.05,0
2025-06-02 09:55:00,55875.05,55898.0,55811.5,55862.05,0
